n,developer,name,website,summary,category
1,Heng Kang Wei,Culture.SG,https://culturesg.info/,"Introducing Culture.SG

Unified Event Aggregator – Pulls event data from NHB, NAC, community pages, and partner organisations. Users can search by date, location, event type, and language, eliminating the need to browse multiple sites.

Personalised Recommendations – Uses user preferences and past searches to suggest relevant upcoming events, improving discovery and conversion.

“Random Fun Fact” Feature – Delivers bite-sized cultural trivia or heritage insights from a verified database, subtly improving users’ cultural literacy over time.","Causes (Social, Environment, Sustainability)"
2,Benjamin Alexander Chua,Kua Si Mi,http://ksm.benjaminalexanderchua.com,"The Kua Si Mi (KSM) Portal is a confidential online platform designed to empower individuals to share and reflect on bullying experiences without fear of stigma or exposure. Unlike traditional reporting channels, KSM focuses on story-sharing, awareness, and early intervention (based on data trending to inform for further actions taken at community level or schools) rather than formal complaints. Users can anonymously describe incidents of bullying, harassment, or exclusion they have witnessed or experienced.

The submission is screened through an AI tool which detects harmful submissions with security features such as geographical IP restriction as this is meant for SG use only.","Causes (Social, Environment, Sustainability)"
3,Jean Hui Ng,,,,Travel and Transport
4,Corale Chew,,,,Education and Family
5,Ruth Wong,CoatShare (aka CanBorrow?),"https://coatsharesg.lovable.app/

user: coatshare.addy@gmail.com
Pw: 67891011

[Note: emails for completed transactions and alerts are sent to my email account.]  ","CoatShare connects occasional winter travellers in Singapore with coats they can borrow, rent or buy second-hand from the community.  The app recommends suitable coats based on destination and travel dates, allows side-by-side comparisons, and lets users set alerts for their desired coats – making it easy to stay warm with the cost or clutter of owning rarely-used winter wear.  The app thus provides a platform that nudges behavioural change towards sustainability, making it simple to choose sharing over buying. 
Key Features: 
•        Personalised Recommendations – Get coat suggestions tailored to your destination, travel dates and preferences. 
•        Availability Alerts – Set alerts when no coats match your needs. 
•        Easy List – List your idle coats to share with fellow travellers
•        Community Stories – Connect with other travellers and contribute towards the movement for thoughtful travel and reducing textile waste.  
Authentication is needed to share or buy coats via the app. ","Causes (Social, Environment, Sustainability)"
6,Louis Sim,SkillPathSG,https://skillpathsg.lovable.app/,structred pathway and tailored courses recommendation in the digital/tech space based on user interest,Work
7,Jerald Tan,,,,Travel and Transport
8,Marcus Moo Wei Hao,Lumina Sanctuary,https://lumina-sanctuary-sg.lovable.app/ ,"Lumina Sanctuary offers the new means to feel connected with the heavens through sincere prayers. One can seek clarity through divination practice and get incentivized to meditate/chant more with the chanting bank feature. There's announcement regarding latest community based event to learn about Nichiren Buddhism. For seekers of The Truth, can refer to Sutra page to learn about the ancient philosophy.","Causes (Social, Environment, Sustainability)"
9,Nathaniel Soon,Streamlite,https://streamlite.lovable.app,"Streamlite is a smart streaming planner that turns what you feel like watching into a tailored viewing guide and smart subscription plan, optimising across multiple platforms so that your household get the right shows at the best value.",Travel and Transport
10,Chia Charmaine Jacqueline,"SubTrackLah!

Dummy/Test Account:
Email: chiacharmjac@gmail.com
Pw: 123456",SubTrackLah.com,"SubTrackLah! helps busy professionals in Singapore take control of their digital spending by tracking all subscriptions in one place. From Netflix to cloud storage, it reminds you of renewals, highlights underused plans, and celebrates your savings — so you can declutter your digital life and keep more kopi money in your pocket. ☕💸","Health (Mental, Physical, Financial)"
